n_e,n_i,T_i,T_e,rho
4.48e+20,4.48e+20,5000.0,5000.0,0.0
4.479988274896495e+20,4.479988274896495e+20,4999.274666133415,4999.274666133415,0.005
4.479930071159013e+20,4.479930071159013e+20,4997.487520675347,4997.487520675347,0.01
4.479801247612278e+20,4.479801247612278e+20,4994.803730172603,4994.803730172603,0.015
4.47958295881305e+20,4.47958295881305e+20,4991.298967983133,4991.298967983133,0.02
4.479258981659795e+20,4.479258981659795e+20,4987.022509038345,4987.022509038345,0.025
4.478814784604396e+20,4.478814784604396e+20,4982.010657726978,4982.010657726978,0.03
4.478237057590163e+20,4.478237057590163e+20,4976.292066914897,4976.292066914897,0.035
4.4775134338878105e+20,4.4775134338878105e+20,4969.890383489217,4969.890383489217,0.04
4.476632309296444e+20,4.476632309296444e+20,4962.82574996216,4962.82574996216,0.045
4.475582717042767e+20,4.475582717042767e+20,4955.115735287535,4955.115735287535,0.05
4.4743542372756344e+20,4.4743542372756344e+20,4946.775949691847,4946.775949691847,0.055
4.472936929387765e+20,4.472936929387765e+20,4937.820470820567,4937.820470820567,0.06
4.4713212801164994e+20,4.4713212801164994e+20,4928.262150496912,4928.262150496912,0.065
4.469498162962224e+20,4.469498162962224e+20,4918.112842394068,4918.112842394068,0.07
4.467458805972524e+20,4.467458805972524e+20,4907.383575326656,4907.383575326656,0.075
4.465194765866588e+20,4.465194765866588e+20,4896.084687973662,4896.084687973662,0.08
4.462697907067014e+20,4.462697907067014e+20,4884.225935523146,4884.225935523146,0.085
4.459960384598912e+20,4.459960384598912e+20,4871.816575413551,4871.816575413551,0.09
4.456974630084085e+20,4.456974630084085e+20,4858.865437208852,4858.865437208852,0.095
4.4537333402457604e+20,4.4537333402457604e+20,4845.380980225349,4845.380980225349,0.1
4.450229467473635e+20,4.450229467473635e+20,4831.371341560691,4831.371341560691,0.105
4.4464562120971426e+20,4.4464562120971426e+20,4816.844376501741,4816.844376501741,0.11
4.442407016087688e+20,4.442407016087688e+20,4801.8076928085,4801.8076928085,0.115
4.43807555796563e+20,4.43807555796563e+20,4786.268680024349,4786.268680024349,0.12
4.4334557487298865e+20,4.4334557487298865e+20,4770.234534707592,4770.234534707592,0.125
4.428541728660673e+20,4.428541728660673e+20,4753.712282288714,4753.712282288714,0.13
4.423327864871428e+20,4.423327864871428e+20,4736.70879611364,4736.70879611364,0.135
4.417808749506291e+20,4.417808749506291e+20,4719.230814122926,4719.230814122926,0.14
4.4119791984956663e+20,4.4119791984956663e+20,4701.284953531403,4701.284953531403,0.145
4.405834250795496e+20,4.405834250795496e+20,4682.877723806002,4682.877723806002,0.15
4.399369168046491e+20,4.399369168046491e+20,4664.015538186767,4664.015538186767,0.155
4.3925794345983e+20,4.3925794345983e+20,4644.704723954077,4644.704723954077,0.16
4.3854607578507654e+20,4.3854607578507654e+20,4624.951531611409,4624.951531611409,0.165
