n_e,n_i,T_i,T_e,rho
2.7574037e+20,2.7574037e+20,19000.265,18767.075,0.,
2.7573552e+20,2.7573552e+20,18997.816,18764.9,0.005,
2.7572125e+20,2.7572125e+20,18990.614,18758.5,0.01,
2.7569755e+20,2.7569755e+20,18978.664,18747.88,0.015,
2.7566445e+20,2.7566445e+20,18961.973,18733.047,0.02,
2.7562192e+20,2.7562192e+20,18940.555,18714.011,0.025,
2.7556999e+20,2.7556999e+20,18914.426,18690.785,0.03,
2.7550865e+20,2.7550865e+20,18883.606,18663.384,0.035,
2.7543791e+20,2.7543791e+20,18848.117,18631.828,0.04,
2.7535779e+20,2.7535779e+20,18807.986,18596.136,0.045,
2.7526828e+20,2.7526828e+20,18763.243,18556.333,0.05,
2.7516939e+20,2.7516939e+20,18713.921,18512.447,0.055,
2.7506114e+20,2.7506114e+20,18660.057,18464.505,0.06,
2.7494354e+20,2.7494354e+20,18601.691,18412.541,0.065,
2.7481660e+20,2.7481660e+20,18538.866,18356.589,0.07,
2.7468011e+20,2.7468011e+20,18471.519,18296.588,0.075,
2.7453372e+20,2.7453372e+20,18399.523,18232.42,0.08,
2.7437793e+20,2.7437793e+20,18323.171,18164.343,0.085,
2.7421276e+20,2.7421276e+20,18242.52,18092.403,0.09,
2.7403822e+20,2.7403822e+20,18157.63,18016.646,0.095,
2.7385434e+20,2.7385434e+20,18068.564,17937.124,0.1,
2.7366095e+20,2.7366095e+20,17975.294,17853.807,0.105,
2.7345746e+20,2.7345746e+20,17877.608,17766.498,0.11,
2.7324459e+20,2.7324459e+20,17775.912,17675.555,0.115,
2.7302238e+20,2.7302238e+20,17670.283,17581.038,0.12,
2.7279084e+20,2.7279084e+20,17560.797,17483.011,0.125,
2.7255016e+20,2.7255016e+20,17447.61,17381.606,0.13,
2.7230037e+20,2.7230037e+20,17330.807,17276.891,0.135,
2.7204136e+20,2.7204136e+20,17210.401,17168.873,0.14,
2.7177314e+20,2.7177314e+20,17086.48,17057.622,0.145,
2.7149617e+20,2.7149617e+20,16959.326,16943.383,0.15,
2.7121044e+20,2.7121044e+20,16829.007,16826.213,0.155,
2.7091564e+20,2.7091564e+20,16695.46,16706.045,0.16,
2.7061179e+20,2.7061179e+20,16558.77,16582.95,0.165,
2.7029854e+20,2.7029854e+20,16418.863,16456.851,0.17,
2.6997629e+20,2.6997629e+20,16276.004,16327.981,0.175,
2.6964507e+20,2.6964507e+20,16130.291,16196.419,0.18,
2.6930657e+20,2.6930657e+20,15982.536,16062.892,0.185,
2.6895951e+20,2.6895951e+20,15832.261,15926.959,0.19,
2.6860369e+20,2.6860369e+20,15679.459,15788.608,0.195,
2.6823868e+20,2.6823868e+20,15524.04,15647.749,0.2,
2.6786422e+20,2.6786422e+20,15368.689,15506.606,0.205,
2.6747866e+20,2.6747866e+20,15215.447,15366.835,0.21,
2.6707914e+20,2.6707914e+20,15063.234,15227.455,0.215,
2.6666937e+20,2.6666937e+20,14913.487,15089.794,0.22,
2.6625445e+20,2.6625445e+20,14767.902,14955.434,0.225,
2.6583255e+20,2.6583255e+20,14625.617,14823.609,0.23,
2.6540023e+20,2.6540023e+20,14485.365,14693.167,0.235,
2.6495531e+20,2.6495531e+20,14346.454,14563.47,0.24,
2.6450061e+20,2.6450061e+20,14209.755,14435.343,0.245,
2.6403310e+20,2.6403310e+20,14074.359,14307.942,0.25,
2.6355533e+20,2.6355533e+20,13941.002,14181.968,0.255,
2.6307294e+20,2.6307294e+20,13811.141,14058.82,0.26,
2.6258396e+20,2.6258396e+20,13684.077,13937.858,0.265,
2.6208109e+20,2.6208109e+20,13557.885,13817.263,0.27,
2.6156415e+20,2.6156415e+20,13432.588,13697.056,0.275,
2.6104169e+20,2.6104169e+20,13310.222,13579.201,0.28,
2.6051524e+20,2.6051524e+20,13190.986,13463.917,0.285,
2.5997643e+20,2.5997643e+20,13072.913,13349.315,0.29,
2.5942396e+20,2.5942396e+20,12955.708,13234.965,0.295,
2.5886317e+20,2.5886317e+20,12840.121,13120.441,0.3,
2.5829399e+20,2.5829399e+20,12725.985,13005.396,0.305,
2.5771200e+20,2.5771200e+20,12612.38,12888.959,0.31,
2.5711783e+20,2.5711783e+20,12499.436,12771.302,0.315,
2.5651282e+20,2.5651282e+20,12387.391,12652.718,0.32,
2.5589698e+20,2.5589698e+20,12276.225,12533.242,0.325,
2.5527306e+20,2.5527306e+20,12166.396,12413.426,0.33,
2.5463698e+20,2.5463698e+20,12057.16,12292.518,0.335,
2.5398539e+20,2.5398539e+20,11947.957,12169.924,0.34,
2.5332822e+20,2.5332822e+20,11840.434,12047.545,0.345,
2.5266509e+20,2.5266509e+20,11734.455,11925.313,0.35,
2.5198776e+20,2.5198776e+20,11628.677,11801.734,0.355,
2.5129901e+20,2.5129901e+20,11523.546,11677.36,0.36,
2.5059809e+20,2.5059809e+20,11418.944,11552.093,0.365,
2.4989228e+20,2.4989228e+20,11315.921,11427.254,0.37,
2.4917930e+20,2.4917930e+20,11214.088,11302.444,0.375,
2.4844436e+20,2.4844436e+20,11111.359,11175.131,0.38,
2.4770644e+20,2.4770644e+20,11010.39,11048.643,0.385,
2.4696626e+20,2.4696626e+20,10911.194,10923.777,0.39,
2.4621055e+20,2.4621055e+20,10811.952,10799.459,0.395,
2.4544419e+20,2.4544419e+20,10713.322,10676.523,0.4,
2.4466724e+20,2.4466724e+20,10615.305,10554.959,0.405,
2.4389008e+20,2.4389008e+20,10519.167,10436.312,0.41,
2.4310140e+20,2.4310140e+20,10423.468,10318.785,0.415,
2.4230139e+20,2.4230139e+20,10328.236,10202.4,0.42,
2.4149176e+20,2.4149176e+20,10233.667,10087.389,0.425,
2.4067676e+20,2.4067676e+20,10140.237,9974.3104,0.43,
2.3985544e+20,2.3985544e+20,10047.799,9862.97,0.435,
2.3902723e+20,2.3902723e+20,9956.2659,9753.2427,0.44,
2.3818417e+20,2.3818417e+20,9864.7573,9644.0656,0.445,
2.3733529e+20,2.3733529e+20,9774.2483,9536.5924,0.45,
2.3648183e+20,2.3648183e+20,9684.839,9430.9231,0.455,
2.3562404e+20,2.3562404e+20,9596.5216,9327.0298,0.46,
2.3475042e+20,2.3475042e+20,9508.1077,9223.5052,0.465,
2.3387083e+20,2.3387083e+20,9420.5974,9121.513,0.47,
2.3298737e+20,2.3298737e+20,9334.1697,9021.245,0.475,
2.3210009e+20,2.3210009e+20,9248.8075,8922.6756,0.48,
2.3119584e+20,2.3119584e+20,9163.4236,8824.753,0.485,
2.3028391e+20,2.3028391e+20,9078.9609,8728.6224,0.49,
2.2936727e+20,2.2936727e+20,8995.6619,8634.5318,0.495,
2.2844594e+20,2.2844594e+20,8913.4875,8542.4068,0.5,
2.2751168e+20,2.2751168e+20,8831.6867,8451.3855,0.505,
2.2656897e+20,2.2656897e+20,8750.6431,8361.8799,0.51,
2.2561701e+20,2.2561701e+20,8670.2731,8273.7791,0.515,
2.2465964e+20,2.2465964e+20,8590.8782,8187.3927,0.52,
2.2369743e+20,2.2369743e+20,8512.4747,8102.7138,0.525,
2.2272540e+20,2.2272540e+20,8434.6378,8019.2647,0.53,
2.2173859e+20,2.2173859e+20,8356.9704,7936.6101,0.535,
2.2075260e+20,2.2075260e+20,8280.6813,7856.0179,0.54,
2.1976153e+20,2.1976153e+20,8205.2752,7776.9383,0.545,
2.1876015e+20,2.1876015e+20,8130.3391,7698.9221,0.55,
2.1774831e+20,2.1774831e+20,8055.857,7621.9419,0.555,
2.1673113e+20,2.1673113e+20,7982.1916,7546.3582,0.56,
2.1571345e+20,2.1571345e+20,7909.6636,7472.4778,0.565,
2.1468557e+20,2.1468557e+20,7837.5598,7399.5572,0.57,
2.1365226e+20,2.1365226e+20,7766.1576,7327.8129,0.575,
2.1261016e+20,2.1261016e+20,7695.0858,7256.7206,0.58,
